uuid,timestamp,timezone,latitude,longitude
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 3:25:39,America/Los_Angeles,37.05945,-122.05859
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 3:26:51,America/Los_Angeles,37.05945,-122.05859
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 4:32:05,America/Los_Angeles,37.01441,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 4:35:35,America/Los_Angeles,37.01441,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 4:50:29,America/Los_Angeles,37.01441,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 4:51:39,America/Los_Angeles,37.01442,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 4:55:31,America/Los_Angeles,37.01441,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:03:06,America/Los_Angeles,37.01441,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:05:33,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:05:58,America/Los_Angeles,37.32012,-121.87701
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:06:15,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:06:20,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:06:54,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:07:35,America/Los_Angeles,37.01443,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:07:47,America/Los_Angeles,37.32012,-121.87701
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:08:09,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:08:51,America/Los_Angeles,37.32012,-121.87701
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:09:42,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:09:47,America/Los_Angeles,37.01444,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:10:28,America/Los_Angeles,37.01442,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:10:36,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:10:48,America/Los_Angeles,37.01446,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:11:25,America/Los_Angeles,37.01447,-122.01276
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:12:17,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:12:33,America/Los_Angeles,37.01447,-122.01276
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:13:15,America/Los_Angeles,37.01447,-122.01276
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:13:33,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:13:54,America/Los_Angeles,37.01447,-122.01276
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:14:17,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:14:43,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:15:13,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:15:18,America/Los_Angeles,37.01446,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:15:30,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:16:12,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:16:26,America/Los_Angeles,37.01446,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:16:48,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:17:09,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:18:02,America/Los_Angeles,37.01444,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:19:02,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:19:48,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:21:40,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:22:50,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:23:07,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:24:57,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:25:33,America/Los_Angeles,37.01444,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:25:40,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:26:00,America/Los_Angeles,37.01446,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:26:56,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:27:08,America/Los_Angeles,37.01443,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:27:36,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:27:47,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:28:02,America/Los_Angeles,37.01441,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:28:25,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:29:00,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:29:19,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:29:58,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:30:43,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:31:26,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:33:32,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:33:50,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:34:32,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:34:46,America/Los_Angeles,37.01444,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:36:01,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:36:51,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:38:19,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:39:30,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:40:41,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:42:00,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:42:37,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:43:25,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:44:32,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:45:45,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:46:19,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:47:01,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:48:31,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:49:23,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:50:28,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:51:28,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:52:17,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:53:41,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:54:43,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:56:08,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:56:38,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:57:40,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 5:59:05,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:00:23,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:01:01,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:01:53,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:03:00,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:03:49,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:04:33,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:05:41,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:06:19,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:07:34,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:08:12,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:09:24,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:10:17,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:11:13,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:11:59,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:12:37,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:13:25,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:14:45,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:15:56,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:16:39,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:17:48,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:21:03,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:22:03,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:22:39,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:23:26,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:24:16,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:25:42,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:26:26,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:27:59,America/Los_Angeles,37.01449,-122.01271
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:34:59,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:35:39,America/Los_Angeles,37.01449,-122.01272
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:35:59,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:36:37,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:37:35,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:38:54,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:40:11,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:41:27,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:42:25,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:43:13,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:44:18,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:44:57,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:45:04,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:45:45,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:45:56,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:46:52,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:47:20,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:48:01,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:49:02,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:49:41,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:49:50,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:50:56,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:51:52,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:52:18,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:53:27,America/Los_Angeles,37.01443,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:53:58,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:54:35,America/Los_Angeles,37.01444,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:55:23,America/Los_Angeles,37.01442,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:55:34,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:56:27,America/Los_Angeles,37.01447,-122.01276
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:57:13,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 6:58:49,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 7:00:40,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 7:01:19,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 7:01:57,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 7:02:50,America/Los_Angeles,37.01448,-122.01275
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 10:25:03,America/Los_Angeles,37.05945,-122.05859
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 10:25:11,America/Los_Angeles,37.059469,-122.058591
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 10:25:39,America/Los_Angeles,37.05945,-122.05859
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 10:25:48,America/Los_Angeles,37.059469,-122.058591
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 10:26:46,America/Los_Angeles,37.059469,-122.058591
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 10:26:51,America/Los_Angeles,37.05945,-122.05859
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 11:11:50,America/Los_Angeles,37.32011,-121.87701
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 11:12:36,America/Los_Angeles,37.32011,-121.87701
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 11:13:18,America/Los_Angeles,37.32012,-121.87702
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 15:51:02,America/Los_Angeles,37.01442,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 16:37:39,America/Los_Angeles,37.04556,-122.02632
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:38:03,America/Los_Angeles,37.32012,-121.87701
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:40:07,America/Los_Angeles,37.32011,-121.87702
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:41:46,America/Los_Angeles,37.32012,-121.87701
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:42:34,America/Los_Angeles,37.32011,-121.87702
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:43:10,America/Los_Angeles,37.32011,-121.87702
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:44:00,America/Los_Angeles,37.32012,-121.87701
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:45:00,America/Los_Angeles,37.32011,-121.87702
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:45:41,America/Los_Angeles,37.32011,-121.87702
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:51:31,America/Los_Angeles,37.01448,-122.01274
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 17:52:22,America/Los_Angeles,37.01447,-122.01273
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 22:05:47,America/Los_Angeles,37.32011,-121.87702
